"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-baseline-0 1 2 4 7 10 13 16 18 19 20"
"10/20/2024 13:13:40:513 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"5","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","7","4","0","0","69","4","5","0","0","11","1247.1125","1114.05"
"6","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","10","0","0","0","70","9","0","0","0","11","1160.5875","1127.35"
"3","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","5","0","0","75","0","5","0","0","15","1153.2625","1269.75"
"4","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","8","72","0","0","0","6","14","51.5375","29.95"
"1","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","10","0","0","70","0","9","0","0","11","1311.5625","1112.4"
"2","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","9","0","71","0","0","8","0","12","92.775","112.25"
"10","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","9","0","0","71","0","6","0","0","14","1188.725","1184.45"
"7","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","2","0","9","69","0","3","0","8","9","627.3375","421.8"
"11","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","10","0","0","0","70","9","0","0","0","11","1188.5375","1304.2"
"8","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","10","70","0","0","0","8","12","69.3375","105.15"
"9","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","7","0","3","0","70","8","0","0","0","12","604.3875","736.75"
"12","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","8","72","0","0","0","9","11","364.3","118.85"
"15","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","10","0","0","0","70","9","0","0","0","11","1139.3625","892.75"
"18","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","9","0","0","0","71","11","0","0","0","9","1300.0375","1282.1"
"13","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","8","0","0","72","0","7","0","0","13","1339.85","1284.55"
"16","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","1","0","14","65","0","0","0","14","6","538.3375","476.1"
