"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-behavior-copy"
"10/17/2024 09:02:00:965 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"6","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","12","0","0","0","68","9","0","0","0","11","901.25","1020.85"
"5","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","7","0","0","0","73","7","0","0","0","13","910.5875","1015.3"
"4","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","8","0","0","0","72","6","0","0","0","14","947.4","790.75"
"10","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","0","11","0","0","69","0","0","10","0","10","824.875","139.5"
"3","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","9","0","0","0","71","9","0","0","0","11","762.55","790.7"
"8","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","0","6","0","0","74","0","0","7","0","13","993.125","132.8"
"2","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","0","14","0","0","66","0","0","11","0","9","775.5","69.7"
"9","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","4","8","0","0","68","2","0","8","0","10","958.3625","526.1"
"7","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","0","4","6","0","70","1","6","2","0","11","493.85","789.3"
"1","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","0","2","6","0","72","0","6","2","0","12","613.5375","675.5"
"13","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","9","0","0","0","71","6","0","0","0","14","927.65","933.3"
"14","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","11","0","0","0","69","11","0","0","0","9","964.75","894.25"
"15","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","0","0","11","0","69","0","10","0","0","10","236.4875","884.15"
"11","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","0","7","0","0","73","0","0","7","0","13","806.2875","459.75"
"12","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","0","0","8","2","70","0","10","0","0","10","29.9375","409"
"16","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","0","0","0","8","72","0","0","0","9","11","25.675","147.7"
"19","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","10","0","0","0","70","8","0","0","0","12","972.65","880.7"
"18","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","0","10","0","0","70","0","0","7","0","13","649.45","209.3"
"17","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","0","10","0","0","70","0","0","8","0","12","795.4625","6.45"
"20","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","false","500","11","0","0","0","69","11","0","0","0","9","694.2125","894.05"
"24","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","0","79","0","1","0","5","0","15","0","0","528.1875","63.3"
"22","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","78","0","1","0","1","19","0","0","0","1","530.675","621.85"
"29","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","79","0","1","0","0","20","0","0","0","0","522.9","677.5"
"30","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","80","0","0","0","0","20","0","0","0","0","635.425","717.8"
"26","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","2","77","0","0","1","0","0","20","0","0","588.8875","55.6"
"23","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","0","0","80","0","0","0","20","0","0","0","36.7125","977.85"
"21","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","0","1","0","79","0","0","0","0","20","0","79.225","63.1"
"27","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","0","0","80","0","0","0","20","0","0","0","11.15","955.05"
"25","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","0","0","0","80","0","0","0","0","20","0","20.975","97.8"
"28","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","0","0","0","80","0","0","0","0","20","0","39.2","76.75"
"31","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","80","0","0","0","0","20","0","0","0","0","589.025","724.4"
"34","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","78","0","0","0","2","20","0","0","0","0","667.9","457.95"
"33","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","0","77","0","2","1","1","0","19","0","0","587.5125","36.6"
"32","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","0","0","80","0","0","0","20","0","0","0","48.3625","960.55"
"35","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","0","1","0","79","0","0","0","0","20","0","89.4375","89.65"
"37","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","0","0","80","0","0","0","20","0","0","0","92.9625","1006.65"
"36","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","0","1","1","78","0","0","1","0","19","0","79.625","140"
"38","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","1","0","79","0","0","0","20","0","0","0","81.5875","637.85"
"39","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","0","0","0","80","0","0","2","0","18","0","72.9375","54"
"40","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","false","500","0","0","80","0","0","0","20","0","0","0","79","785.25"
"41","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","80","0","0","0","0","20","0","0","0","0","587.7","716.7"
"44","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","0","80","0","0","0","0","0","20","0","0","647.1375","27.3"
"43","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","6","74","0","0","0","7","0","13","0","0","470.3875","206"
"50","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","1","79","0","0","0","4","0","16","0","0","657.7875","93.25"
"47","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","0","80","0","0","0","3","0","17","0","0","570.8875","60.65"
"49","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","79","0","1","0","0","20","0","0","0","0","545.0875","614.1"
"48","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","80","0","0","0","0","20","0","0","0","0","521.0625","745.1"
"42","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","0","0","80","0","0","0","20","0","0","0","18.375","933.6"
"46","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","0","66","0","14","0","4","1","11","4","0","424.15","114.25"
"45","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","0","0","80","0","0","0","20","0","0","0","58.3","901.9"
"52","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","0","80","0","0","0","4","0","16","0","0","708.35","92.15"
"51","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","4","76","0","0","0","16","0","4","0","0","562.7875","215.95"
"54","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","80","0","0","0","0","20","0","0","0","0","656.85","625.4"
"55","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","80","0","0","0","0","20","0","0","0","0","647.55","694.9"
"53","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","0","80","0","0","0","10","0","10","0","0","622.1875","98.15"
"57","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","0","80","0","0","0","0","0","20","0","0","627.2","74.15"
"56","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","0","80","0","0","0","6","0","14","0","0","646.5","82"
"60","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","5","50","10","15","0","8","1","7","4","0","401.3875","245.6"
"59","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","0","0","0","80","0","0","0","0","20","0","86.6","63.1"
"58","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","false","500","0","0","0","80","0","0","0","0","20","0","22.4","44.7"
"63","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","false","500","79","1","0","0","0","19","0","1","0","0","624.7875","504.8"
"64","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","false","500","78","2","0","0","0","20","0","0","0","0","619.3375","515.2"
"61","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","false","500","0","80","0","0","0","1","0","19","0","0","562.5375","39"
"62","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","false","500","75","4","0","1","0","18","0","2","0","0","489.575","522.95"
"66","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","false","500","2","78","0","0","0","8","0","12","0","0","585.4","166.1"
"65","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","false","500","38","41","1","0","0","18","0","2","0","0","490.5125","377.5"
"67","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","false","500","77","1","2","0","0","20","0","0","0","0","505.575","534.5"
"68","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","false","500","0","80","0","0","0","4","0","16","0","0","581.3","52"
"70","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","false","500","80","0","0","0","0","20","0","0","0","0","475.45","767.65"
"69","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","false","500","0","0","77","3","0","0","20","0","0","0","43.475","658.9"
"72","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","false","500","0","80","0","0","0","0","0","20","0","0","578.8625","64.95"
