"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-hyperperturbation"
"10/21/2024 08:11:12:867 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"3","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","37","43","0","0","0","19","1","178.7","72.55"
"2","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","36","44","0","0","0","19","1","57.9875","108.4"
"1","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","41","39","0","0","0","20","0","122","123.1"
"7","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","32","48","0","0","0","18","2","654.275","173.85"
"4","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","33","47","0","0","2","17","1","237.7625","-254.45"
"6","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","34","46","0","0","0","19","1","72.8125","23.85"
"5","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","7","26","47","0","0","0","20","0","202.85","1260.55"
"10","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","35","45","0","0","0","20","0","111.2875","58"
"8","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","30","50","0","0","0","17","3","104.5375","814.7"
"9","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","32","48","0","0","0","18","2","148.275","146.8"
"19","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","31","49","0","0","0","19","1","211.4125","290.9"
"13","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","40","40","0","0","0","20","0","122.8875","180.95"
"12","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","2","36","42","0","0","0","20","0","-35.9125","745.2"
"15","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","36","0","0","44","0","18","0","0","2","1611.6375","1140.4"
"11","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","1","4","30","1","44","0","18","0","0","2","-113.125","3609.25"
"18","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","33","47","0","0","0","18","2","62.5625","94.9"
"14","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","37","0","43","0","0","19","0","1","201.0375","200.1"
"17","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","2","4","30","3","41","0","17","3","0","0","0.525","3069.5"
"20","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","31","5","44","0","0","20","0","0","1060.3625","316.55"
"16","0.7","1","0.3","19","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","38","42","0","0","0","20","0","416","466.75"
"23","0.7","1","0.3","19","true","0.002","0.2","100","1","2","250","0.2","true","true","500","0","0","0","72","8","0","0","0","20","0","32.475","165.55"
"24","0.7","1","0.3","19","true","0.002","0.2","100","1","2","250","0.2","true","true","500","0","0","0","67","13","0","0","0","20","0","45.325","30.6"
"21","0.7","1","0.3","19","true","0.002","0.2","100","1","2","250","0.2","true","true","500","0","0","73","0","7","0","0","20","0","0","121.175","618.15"
"29","0.7","1","0.3","19","true","0.002","0.2","100","1","2","250","0.2","true","true","500","0","0","0","78","2","0","0","0","20","0","18.6625","237.25"
"28","0.7","1","0.3","19","true","0.002","0.2","100","1","2","250","0.2","true","true","500","0","0","0","76","4","0","0","0","20","0","54.8625","28.25"
"22","0.7","1","0.3","19","true","0.002","0.2","100","1","2","250","0.2","true","true","500","0","0","1","77","2","0","0","0","20","0","53.4","115.15"
"26","0.7","1","0.3","19","true","0.002","0.2","100","1","2","250","0.2","true","true","500","0","0","0","72","8","0","0","0","20","0","25.0875","51.05"
"30","0.7","1","0.3","19","true","0.002","0.2","100","1","2","250","0.2","true","true","500","0","0","1","65","14","0","0","0","20","0","98.725","-50.95"
"27","0.7","1","0.3","19","true","0.002","0.2","100","1","2","250","0.2","true","true","500","0","0","0","73","7","0","0","0","20","0","42.05","95.25"
"25","0.7","1","0.3","19","true","0.002","0.2","100","1","2","250","0.2","true","true","500","0","0","0","71","9","0","0","0","20","0","32.975","9.2"
"33","0.7","1","0.3","19","true","0.002","0.2","100","1","2","250","0.2","true","true","500","0","0","0","77","3","0","0","0","20","0","102.5875","125.85"
"32","0.7","1","0.3","19","true","0.002","0.2","100","1","2","250","0.2","true","true","500","0","0","0","77","3","0","0","0","20","0","-3.1875","103.7"
"31","0.7","1","0.3","19","true","0.002","0.2","100","1","2","250","0.2","true","true","500","0","0","0","78","2","0","0","0","20","0","20.5375","17.35"
