"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-hyperperturbation"
"10/21/2024 00:20:29:873 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"6","0.7","1","0.3","0","true","0.002","0.2","100","0","2","35","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","5276.9125","3678.9"
"3","0.7","1","0.3","0","true","0.002","0.2","100","0","2","35","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","4955.425","1860.7"
"1","0.7","1","0.3","0","true","0.002","0.2","100","0","2","35","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","4953.9875","1847.35"
"7","0.7","1","0.3","0","true","0.002","0.2","100","0","2","35","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","78.1875","178.45"
"10","0.7","1","0.3","0","true","0.002","0.2","100","0","2","35","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","5056.9","1932.25"
"8","0.7","1","0.3","0","true","0.002","0.2","100","0","2","35","0.2","true","true","500","0","79","0","0","1","0","20","0","0","0","4952.375","1874.35"
"5","0.7","1","0.3","0","true","0.002","0.2","100","0","2","35","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","5417.1","3617.35"
"9","0.7","1","0.3","0","true","0.002","0.2","100","0","2","35","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","5013.5875","1941.3"
"4","0.7","1","0.3","0","true","0.002","0.2","100","0","2","35","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","561.7625","1833.3"
"2","0.7","1","0.3","0","true","0.002","0.2","100","0","2","35","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","5003.3375","1617.9"
"11","0.7","1","0.3","0","true","0.002","0.2","100","0","2","35","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","5005.5625","1947.85"
"14","0.7","1","0.3","0","true","0.002","0.2","100","0","2","35","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","4802.0125","1747.5"
"15","0.7","1","0.3","0","true","0.002","0.2","100","0","2","35","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","5379.0875","3716.95"
"13","0.7","1","0.3","0","true","0.002","0.2","100","0","2","35","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","4860.3375","1526.5"
