"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-likeness-2"
"10/20/2024 12:19:15:028 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"6","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","170.525","613.95"
"5","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","46","31","0","0","3","18","2","0","0","0","479.65","229.75"
"7","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","144.15","556.95"
"3","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","7","72","0","0","1","0","14","0","6","0","403.9875","109.55"
"1","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","112.9125","427"
"4","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","16.3875","7.75"
"9","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","1","79","0","0","0","0","20","0","40.475","120.5"
"8","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","4.5125","19.1"
"2","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","3.2375","6.55"
"10","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","15.6125","14.25"
"11","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","71","5","0","0","4","10","0","10","0","0","430.3","255.1"
"12","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","20.3","38.85"
"13","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","21.175","38.65"
"20","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","164.725","609.25"
"14","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","17.025","16.55"
"15","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","1","0","19","0","36.925","39.65"
"17","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","155.4","573.5"
"16","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","1","79","0","0","0","0","20","0","17.05","19"
"18","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","12.55","29.1"
"19","0.3","1","0.3","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","28.325","23.2"
"21","0.3","1","0.4","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","21.1375","20.05"
"23","0.3","1","0.4","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","2","74","0","0","4","0","16","0","4","0","456.075","50.4"
"22","0.3","1","0.4","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","77","0","2","1","0","10","0","10","0","355.5125","35"
"26","0.3","1","0.4","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","3","0","77","0","0","0","0","20","0","0","237.625","885.75"
"24","0.3","1","0.4","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","1","78","0","1","0","0","8","0","12","0","352.3","43.35"
"25","0.3","1","0.4","1","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","202.975","770.85"
