"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-likeness"
"10/17/2024 09:27:26:419 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"3","0.3","1","0.3","5","false","0.002","0.2","100","5","2","250","0.2","true","true","500","79","0","0","0","1","19","0","1","0","0","362.05","324.1"
"2","0.3","1","0.3","5","false","0.002","0.2","100","5","2","250","0.2","true","true","500","2","0","77","1","0","2","0","18","0","0","159.3375","337.25"
"8","0.3","1","0.3","5","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","79","0","1","2","0","18","0","0","114.4","374.7"
"10","0.3","1","0.3","5","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","25","2","53","0","0","12","0","8","0","168.7125","101.05"
"1","0.3","1","0.3","5","false","0.002","0.2","100","5","2","250","0.2","true","true","500","2","0","78","0","0","0","0","20","0","0","134.35","350.85"
"7","0.3","1","0.3","5","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","106.7625","385"
"6","0.3","1","0.3","5","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","0","80","0","0","2","0","18","0","61.3625","38.05"
"9","0.3","1","0.3","5","false","0.002","0.2","100","5","2","250","0.2","true","true","500","16","21","13","30","0","3","0","3","14","0","189.975","194.75"
"4","0.3","1","0.3","5","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","36.975","68.4"
"5","0.3","1","0.3","5","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","19","61","0","0","0","2","18","0","45.4875","152.7"
