"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-new-strategies"
"10/16/2024 23:05:43:593 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"9","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","3","4","0","0","73","3","2","0","0","15","842.4","950.75"
"8","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","10","0","1","69","0","7","0","0","13","644.4625","664.3"
"4","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","6","2","0","1","71","4","3","1","0","12","882.8625","852.1"
"7","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","0","8","0","72","0","0","8","0","12","89.8125","103.45"
"10","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","6","0","0","74","0","7","0","0","13","714","600.5"
"3","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","1","0","4","2","73","0","0","3","2","15","475.925","67.35"
"5","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","0","1","6","73","0","0","0","6","14","138.25","50.65"
"2","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","0","1","9","70","0","0","1","8","11","105.0375","131.25"
"1","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","10","0","0","70","0","8","0","0","12","888.675","761"
"6","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","0","4","5","71","0","0","4","4","12","75.5625","144.1"
