"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-no-perturbation"
"10/16/2024 15:58:12:733 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"1","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"7","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"2","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"4","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"6","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"3","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"5","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","0","24","0","56","0","0","0","14","6","0"
"9","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"10","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"12","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"8","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"11","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"14","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"13","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","53","0","0","27","0","5","0","0","15","0"
"15","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"16","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"19","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"17","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"18","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"20","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"21","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"24","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"23","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"25","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"22","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"26","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"27","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"28","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"30","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"29","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"31","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"32","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"33","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"34","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"35","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"36","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"37","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"38","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"40","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"39","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"41","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"42","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"43","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"44","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"46","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"47","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"45","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"49","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"48","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"50","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"52","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
