"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-p-and-ns"
"10/17/2024 11:22:42:682 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"2","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","27","1","3","0","49","13","0","6","0","1","1013.0375","864.55"
"3","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","38","0","0","0","42","20","0","0","0","0","1206.4375","1199.7"
"6","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","0","0","35","0","45","0","0","20","0","0","196.3125","446.35"
"8","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","0","0","0","38","42","0","0","0","20","0","80.7625","65.8"
"7","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","0","15","0","15","50","0","12","0","8","0","553.1375","506.85"
"10","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","11","0","18","0","51","19","0","0","0","1","538.0375","1150.45"
"9","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","0","9","0","26","45","0","5","0","11","4","514.3625","319.3"
"4","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","28","5","0","0","47","16","0","0","0","4","850.35","723.55"
"1","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","29","3","2","2","44","5","0","13","0","2","956.275","608.9"
"5","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","0","14","0","23","43","0","4","0","16","0","578.925","163.85"
"11","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","0","0","36","0","44","0","0","20","0","0","301.9875","521.55"
"13","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","26","5","4","0","45","17","1","0","0","2","1018.65","1055.15"
"14","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","0","7","0","33","40","0","0","0","20","0","349.175","64.85"
"16","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","31","0","0","0","49","18","0","0","0","2","962.15","1074.3"
"15","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","29","4","0","0","47","18","1","0","0","1","1038.9","1090.25"
"17","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","3","0","37","0","40","0","0","18","0","2","320","437.55"
"12","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","32","5","4","0","39","4","0","16","0","0","939.65","517"
"20","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","0","0","39","0","41","0","0","20","0","0","161.3375","422.25"
"19","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","25","4","1","0","50","17","0","0","0","3","1126.775","1130.75"
"18","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","false","true","500","0","36","0","0","44","0","20","0","0","0","1061.475","818.35"
"23","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","false","true","500","80","0","0","0","0","20","0","0","0","0","779","955.7"
"25","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","false","true","500","80","0","0","0","0","17","0","3","0","0","832.5625","862.2"
