"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-with-perturbation_0 1 2 4 7 10 13 16 18 19 20"
"10/20/2024 15:12:38:900 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"2","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","33","0","0","47","0","19","0","0","1","1599.325","1168.55"
"5","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","40","0","0","0","40","20","0","0","0","0","1550.55","1118.75"
"3","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","39","0","0","41","0","20","0","0","0","1611.9375","1219.95"
"6","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","39","0","0","41","0","20","0","0","0","1657.775","1256.85"
"1","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","40","0","0","0","40","18","0","0","0","2","1685.1125","1322.6"
"4","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","31","49","0","0","0","19","1","250.7","353.45"
"9","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","36","0","0","44","0","20","0","0","0","1518.8","1226.5"
"7","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","34","0","0","46","0","20","0","0","0","1595.3","1190.65"
"10","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","43","0","0","37","0","19","0","0","1","1523.4","1219.4"
"8","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","25","55","0","0","0","16","4","114.4875","157.85"
"11","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","33","0","0","47","0","18","0","0","2","1627.15","1275.2"
"12","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","33","0","0","0","47","19","0","0","0","1","1566.425","1396.45"
"13","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","39","0","0","41","0","20","0","0","0","1154.8","784.5"
"14","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","33","0","0","47","0","19","0","0","1","1615.575","1344.35"
"15","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","39","0","0","41","0","20","0","0","0","1591.675","1256.95"
"16","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","37","0","0","0","43","20","0","0","0","0","1657.5875","1433.3"
"17","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","30","50","0","0","0","20","0","346.45","143.65"
"18","0.7","1","0.3","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","43","0","0","0","37","20","0","0","0","0","1625.775","1463.65"
