"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-strategies"
"10/20/2024 13:38:12:739 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"3","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","5","6","0","0","69","3","4","0","0","13","1179.9","1232"
"2","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","7","0","0","0","73","6","0","0","0","14","1311.3375","1286.3"
"5","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","9","0","0","71","0","7","0","0","13","1295.95","1160.75"
"6","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","9","2","0","0","69","7","2","0","0","11","1242.375","1156.2"
"10","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","6","0","0","74","0","8","0","0","12","1319.5625","1225.7"
"9","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","1","5","0","0","74","1","5","0","0","14","1359.6","1288.8"
"1","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","8","0","0","72","0","7","0","0","13","1348.575","1227.85"
"8","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","9","0","0","71","0","7","0","0","13","1357.9","1220.2"
"4","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","7","0","5","68","0","11","0","1","8","761.9875","1033.6"
"7","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","3","0","8","69","0","4","0","6","10","864.675","325.7"
"12","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","3","4","0","0","73","3","4","0","0","13","900.525","619.9"
"14","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","8","0","0","72","0","8","0","0","12","1336.5125","1226.35"
"13","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","8","0","0","72","0","7","0","0","13","1220.05","943.9"
"16","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","9","4","0","0","67","7","3","0","0","10","1231.25","1130.25"
"15","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","6","0","3","71","0","4","0","3","13","592.875","943.5"
"11","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","11","0","3","66","0","7","0","4","9","1114.35","510.6"
"17","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","5","5","0","0","70","5","3","0","0","12","1242.475","1209.1"
"19","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","2","0","4","74","0","1","0","6","13","1264.5375","45"
"20","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","2","3","0","2","73","3","2","0","2","13","757.2625","718.4"
"18","0.7","1","0.3","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","7","0","1","72","0","4","0","3","13","1166.325","384.8"
"23","0.7","1","0.3","0","false","0.002","0.2","100","1","2","250","0.2","false","true","500","23","8","0","0","49","14","4","0","0","2","1362.5","903.5"
"24","0.7","1","0.3","0","false","0.002","0.2","100","1","2","250","0.2","false","true","500","0","35","0","0","45","0","17","0","0","3","1273.5875","904.95"
"25","0.7","1","0.3","0","false","0.002","0.2","100","1","2","250","0.2","false","true","500","17","2","1","1","59","12","3","3","1","1","1207.15","786.15"
"21","0.7","1","0.3","0","false","0.002","0.2","100","1","2","250","0.2","false","true","500","34","0","0","0","46","16","0","0","0","4","1260.3625","1264.2"
"28","0.7","1","0.3","0","false","0.002","0.2","100","1","2","250","0.2","false","true","500","22","6","1","0","51","12","1","5","0","2","1258.775","925.7"
