"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-with-perturbation"
"10/16/2024 22:30:09:903 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"6","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","35","0","0","45","0","20","0","0","0","1005.6875","704.85"
"1","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","38","0","0","0","42","20","0","0","0","0","1180.65","1196.6"
"4","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","34","0","0","46","0","18","0","0","2","1094.4625","772.8"
"2","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","36","0","0","44","0","20","0","0","0","996.975","800.05"
"9","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","40","40","0","0","0","20","0","45.675","103.3"
"7","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","33","47","0","0","0","18","2","53.1625","30.95"
"10","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","38","0","0","42","0","20","0","0","0","1076.075","947.45"
"3","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","33","0","47","0","0","20","0","0","328.7","481.25"
"5","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","33","47","0","0","0","18","2","24.5375","38"
"8","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","37","0","43","0","0","20","0","0","147.925","390.65"
"11","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","35","0","0","45","0","19","0","0","1","876.0125","687.75"
"13","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","27","0","0","0","53","18","0","0","0","2","1195.55","1183.2"
"14","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","37","0","43","0","0","20","0","0","324.6875","520.3"
"16","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","33","47","0","0","0","20","0","91.4625","105.5"
"12","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","38","0","42","0","0","20","0","0","172.4375","401.45"
"20","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","38","0","0","42","0","20","0","0","0","1134.4125","905.25"
"15","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","36","0","44","0","0","20","0","0","192.6","506.95"
"17","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","35","45","0","0","0","19","1","283.925","305.25"
"18","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","29","0","51","0","0","18","0","2","110.6375","366.05"
"19","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","true","true","500","34","0","0","0","46","19","0","0","0","1","996.85","936.15"
"30","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","15","65","0","0","0","3","17","0","0","0","876.3375","405.5"
"27","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","0","79","0","0","1","0","20","0","0","0","827.75","374.55"
"23","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","842.6625","263.4"
"28","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","890.8625","225.3"
"25","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","0","79","0","1","0","0","20","0","0","0","703.1125","198.7"
"29","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","320.9375","1072.6"
"21","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","0","80","0","0","1","0","19","0","103.0875","38.05"
"24","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","77.7125","73.55"
"22","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","3","77","0","0","0","0","20","0","81.6125","242.75"
"26","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","44.6875","76.3"
"32","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","842.1625","903.3"
"34","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","80","0","0","0","0","19","0","1","0","0","836.525","976.95"
"31","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","80","0","0","2","0","18","0","0","374.7125","1038.9"
"35","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","276.0375","992.95"
"36","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","759.9375","212.15"
"33","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","76","4","0","0","0","20","0","0","206.7375","700.5"
"39","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","80","0","0","0","0","19","0","1","0","0","875.6125","769.15"
"38","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","860.525","232.85"
