"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-no-perturbation-new-strategies"
"10/16/2024 18:44:12:506 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"7","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","4","0","5","71","0","0","0","9","11","677.7","32.65"
"3","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","8","0","0","0","72","6","0","0","0","14","964.1","1020.25"
"5","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","0","13","0","67","0","0","10","0","10","127.9","210.45"
"2","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","8","0","1","0","71","8","0","0","0","12","896.7125","902.85"
"4","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","9","0","1","0","70","8","0","2","0","10","712.775","867.7"
"1","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","3","7","0","0","70","1","7","0","0","12","961.275","854.95"
"6","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","3","1","3","0","73","0","0","6","1","13","397.7875","132.25"
"8","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","8","0","0","72","0","7","0","0","13","834.5625","870"
"9","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","1","1","0","9","69","0","1","1","6","12","437.525","390.25"
"10","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","2","0","6","0","72","4","0","4","0","12","409.7875","429.35"
"12","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","11","0","0","69","0","8","0","0","12","479.3875","750.65"
"11","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","2","1","7","70","0","2","0","6","12","130.025","284.7"
"13","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","10","0","1","0","69","8","0","2","0","10","889.225","538.55"
"14","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","2","2","5","0","71","3","1","4","0","12","253.9","540.45"
"15","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","0","0","7","73","0","0","0","7","13","60.6625","85"
"18","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","9","0","0","0","71","9","0","0","0","11","978.75","990.35"
"16","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","0","2","7","71","0","0","3","7","10","142.775","298.3"
"19","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","5","0","1","0","74","3","1","2","0","14","548.4875","757.5"
"17","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","0","2","1","5","72","1","1","0","4","14","279.9125","496.6"
"20","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","false","true","500","1","0","5","2","72","0","0","7","1","12","310.85","145.2"
"21","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","0","0","11","69","0","0","0","2","18","0","82.4","180.85"
"23","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","77","1","0","0","2","20","0","0","0","0","582.8875","707.55"
"27","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","79","0","0","0","1","20","0","0","0","0","718.1375","512.35"
"25","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","78","0","2","0","0","13","0","7","0","0","539.25","677.6"
"22","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","4","0","76","0","0","1","0","19","0","0","297.75","805.05"
"26","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","0","0","80","0","0","2","0","18","0","0","255.6625","833.1"
"24","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","0","77","0","3","0","0","18","0","2","0","395.325","147.95"
"28","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","1","0","79","0","0","1","0","19","0","0","251.925","649.2"
"33","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","73","7","0","0","0","18","0","2","0","0","614.3875","505.7"
"31","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","1","79","0","0","0","0","14","0","6","0","600.35","127.9"
"32","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","76","0","2","0","2","9","0","11","0","0","547.2875","594.5"
"34","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","76","4","0","0","0","16","0","4","0","0","563.9875","436.55"
"30","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","0","0","80","0","0","0","0","20","0","0","163.875","591.05"
"29","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","0","0","0","80","0","0","0","0","20","0","50.9375","44.55"
"35","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","79","0","0","0","1","8","0","12","0","0","683.95","486.45"
"36","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","79","0","0","0","1","20","0","0","0","0","613.2375","601.6"
"38","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","79","1","0","0","0","11","0","9","0","0","578.7875","535.5"
"40","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","1","78","0","0","1","1","19","0","0","0","654.8875","248.15"
"37","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","false","true","500","0","0","80","0","0","2","0","18","0","0","223.325","726.75"
