"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-no-perturbation"
"10/16/2024 14:12:01:555 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"7","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","0","0","0","6","84","0","0","0","4","6"
"4","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","0","0","9","0","81","0","6","0","0","4"
"3","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","0","0","0","8","82","0","0","0","6","4"
"5","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","0","0","5","0","85","0","4","0","0","6"
"1","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","0","0","0","9","81","0","0","0","7","3"
"6","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","0","0","0","6","84","0","0","0","4","6"
"2","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","0","0","0","10","80","0","0","0","7","3"
"10","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","0","0","7","0","83","0","6","0","0","4"
"9","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","0","0","6","0","84","0","4","0","0","6"
"8","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","0","0","7","0","83","0","6","0","0","4"
"12","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","0","0","0","7","83","0","0","0","5","5"
"11","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","0","0","0","9","81","0","0","0","8","2"
"13","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","8","0","0","0","82","5","0","0","0","5"
"14","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","7","0","0","0","83","5","0","0","0","5"
"16","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","7","0","0","0","83","8","0","0","0","2"
"15","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","0","10","0","0","80","0","0","6","0","4"
"19","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","0","0","9","0","81","0","7","0","0","3"
"18","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","7","0","0","0","83","7","0","0","0","3"
"20","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.1","500","11","0","0","0","79","8","0","0","0","2"
