"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-no-perturbation"
"10/16/2024 18:09:17:559 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"2","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","866.55","764.7"
"4","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","971.975","876.95"
"6","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","971","996.8"
"7","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","712.9125","585.6"
"5","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","800.4125","727.3"
"3","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","76","0","0","4","0","20","0","0","0","0","536.5375","504.15"
"1","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","994.15","988.4"
"10","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","918.2625","908.2"
"9","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","118.775","28.85"
"11","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","974.95","891.2"
"8","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","239.3","83.85"
"12","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","64","0","16","0","0","11","0","9","0","745.025","405.7"
"13","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","92.2125","238.4"
"14","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","232.65","360.1"
"15","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","163.35","128.25"
"17","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","36.3625","50.8"
"16","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","914.7125","824.2"
"18","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","38.2875","49"
"19","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","871.6375","576.95"
"20","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","10","70","0","0","0","9","11","0","0","140.55","580.9"
"21","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","251.7375","792.6"
"25","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","648.8875","155.8"
"22","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","565.3625","125.95"
"26","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","610.275","635.5"
"23","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","228.6125","788.45"
"24","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","196.925","647.4"
"27","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","21.7875","14.7"
"28","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","32.5125","62.85"
"31","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","585.4","193"
"29","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","215.15","725.6"
"33","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","177.6625","650.25"
"30","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","16.275","16.75"
"32","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","66.375","67.7"
"34","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","316.25","704.4"
"35","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","205.225","621.8"
"36","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","232.7","748.65"
"37","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","177.0625","661.35"
"40","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","485.7875","146.15"
"39","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","130.8375","442.5"
"38","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","18.1875","23.05"
"41","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","605.925","580.05"
"44","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","569.3","124.25"
"46","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","614.475","589.5"
"42","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","218.8625","772.9"
"45","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","609.1375","197.55"
"47","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","78","0","2","0","0","19","0","1","0","0","444.5875","653.9"
"43","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","128.875","93.05"
"48","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","499.9375","153.9"
"52","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","618.5","679.25"
"51","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","643.5","211.45"
"50","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","186.075","605.15"
"55","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","317.1875","793.4"
"49","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","35.65","33.35"
"54","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","21","0","0","59","0","6","0","0","14","0","280.5625","295.55"
"53","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","31.325","18.8"
"58","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","654.8125","643.9"
"57","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","540.575","112.35"
"56","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","152.4625","463.35"
"60","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","571","744.5"
"59","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","48.775","38.65"
"62","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","572.55","189.8"
"65","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","626.2625","718.15"
"61","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","0","0","79","1","0","0","0","19","1","0","168.2","583.85"
"63","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","525.925","580.3"
"66","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","488.225","693.1"
"64","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","0","0","80","0","0","0","0","19","1","0","111.075","345.95"
"67","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","477.7875","517.7"
"68","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","66","14","0","0","0","12","8","0","0","0","600.7","259.55"
"69","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","614.6","580.75"
"71","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","610.8125","343.8"
"72","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","591.4625","617.95"
"70","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","79","0","0","1","0","20","0","0","0","0","405.7625","345"
"74","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","442.375","469.5"
"73","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","0","20","23","37","0","0","5","5","10","0","214.925","236.5"
"75","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","15","65","0","0","0","3","17","0","0","0","535.8875","197.15"
"76","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","0","0","64","16","0","0","0","16","4","0","192.9875","471.7"
"79","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","519.5","460.65"
"78","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","0","80","0","0","0","0","20","0","0","0","446.0375","260.9"
"77","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","0","0","0","80","0","0","0","0","20","0","94.225","46.35"
"80","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","true","true","500","53","27","0","0","0","7","13","0","0","0","565.55","398.7"
"81","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","true","true","500","22","21","23","14","0","3","6","6","5","0","393.8875","345.25"
"82","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","true","true","500","21","19","20","20","0","5","9","4","2","0","397.3375","379.65"
"83","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","true","true","500","26","19","17","18","0","4","5","7","4","0","459.5125","381.8"
"84","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","true","true","500","20","17","21","22","0","4","3","7","6","0","375.3375","336.4"
"85","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","true","true","500","19","19","21","21","0","4","3","5","8","0","364.6125","335.05"
"86","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","true","true","500","16","19","18","27","0","5","9","3","3","0","354.8125","355.35"
"87","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","true","true","500","26","16","15","23","0","9","7","3","1","0","418.1375","411.55"
"88","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","true","true","500","24","16","32","8","0","2","6","8","4","0","396.0875","489.3"
"89","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","true","true","500","15","23","23","19","0","5","5","3","7","0","368.6125","317.25"
"90","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","true","true","500","25","18","24","13","0","1","6","7","6","0","412.55","376.25"
"92","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","true","true","500","17","22","18","23","0","5","2","7","6","0","385.675","268.9"
"91","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","true","true","500","17","17","31","15","0","2","6","7","5","0","351.7375","435.1"
"93","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","true","true","500","24","18","17","21","0","3","6","5","6","0","387.4375","303.05"
"94","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","true","true","500","23","22","16","19","0","4","9","5","2","0","428.6625","349.5"
"101","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","true","true","500","80","0","0","0","0","20","0","0","0","0","821.025","788.4"
"102","0.5","1","0.5","5","false","0.002","0.2","100","0","2","250","0.2","true","true","500","0","0","80","0","0","0","0","20","0","0","40.5375","126.35"
