"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-with-perturbation"
"10/16/2024 17:19:55:486 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"5","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","23","0","0","0","67","10","0","0","0","0"
"6","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","26","0","0","0","64","10","0","0","0","0"
"3","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","0","0","20","70","0","0","0","10","0"
"4","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","19","0","0","71","0","0","9","0","1"
"2","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","27","0","0","0","63","10","0","0","0","0"
"1","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","0","21","0","69","0","10","0","0","0"
"7","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","30","0","0","60","0","0","10","0","0"
"8","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","20","0","0","70","0","0","10","0","0"
"9","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","20","0","0","70","0","0","10","0","0"
"10","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","0","0","24","66","0","0","0","10","0"
"11","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","0","0","23","67","0","0","0","10","0"
"12","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","0","0","20","70","0","0","0","10","0"
"13","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","19","0","0","71","0","0","10","0","0"
"15","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","22","0","0","68","0","0","9","0","1"
"14","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","25","0","0","0","65","10","0","0","0","0"
"18","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","0","26","0","64","0","10","0","0","0"
