"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-with-perturbation"
"10/16/2024 09:45:59:549 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"1","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","22","0","0","0","68","6","0","4","0","0"
"8","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","20","0","0","0","70","10","0","0","0","0"
"2","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","23","0","0","0","67","9","0","1","0","0"
"10","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","16","0","10","0","64","10","0","0","0","0"
"6","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","19","2","0","0","69","0","0","10","0","0"
"9","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","20","4","1","0","65","7","0","2","1","0"
"7","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","14","2","5","1","68","4","1","5","0","0"
"5","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","19","0","0","0","71","10","0","0","0","0"
"4","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","16","6","0","0","68","7","1","2","0","0"
"3","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","20","0","2","68","0","0","0","9","1"
"13","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","20","0","0","70","0","0","0","10","0"
"15","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","0","0","25","65","0","5","0","5","0"
"17","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","4","2","18","0","66","9","1","0","0","0"
"18","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","23","0","0","0","67","0","0","10","0","0"
"12","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","20","1","0","0","69","0","0","10","0","0"
"16","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","0","0","0","24","66","0","4","0","6","0"
"14","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","22","0","0","0","68","0","0","10","0","0"
"11","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","13","3","2","4","68","8","2","0","0","0"
"20","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","27","0","0","0","63","0","0","10","0","0"
"19","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.1","500","15","3","0","0","72","7","0","2","0","1"
"21","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","24","0","13","0","43","20","0","0","0","0"
"26","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","0","0","0","34","46","0","15","0","5","0"
"25","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","31","3","0","0","46","7","0","12","1","0"
"22","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","3","3","19","7","48","0","0","16","1","3"
"24","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","32","0","7","0","41","20","0","0","0","0"
"23","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","22","1","5","3","49","15","1","4","0","0"
"29","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","0","0","0","36","44","0","19","0","0","1"
"28","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","24","4","3","0","49","15","0","3","1","1"
"30","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","7","0","25","0","48","19","0","0","0","1"
"27","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","0","32","0","0","48","0","0","19","0","1"
"33","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","0","0","0","39","41","0","4","0","14","2"
"31","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","35","0","0","0","45","12","0","6","0","2"
"32","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","36","3","2","0","39","10","0","10","0","0"
"35","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","38","0","0","0","42","19","0","0","0","1"
"34","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","29","1","1","0","49","19","1","0","0","0"
"36","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","0","0","28","0","52","0","19","0","0","1"
"37","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","0","22","0","12","46","0","0","0","20","0"
"38","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","0","37","0","0","43","0","0","19","0","1"
"39","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.2","500","0","16","0","14","50","0","0","0","19","1"
